Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node1,0.16916666666666666,0.055,2.18,2.18,0.0,0.0,5.37,0.0625,0.0,0.0001,0.0,createSchema_report_40_20250326-021735.html,40
/node4,0.09250000000000001,0.04583333333333334,2.08,2.08,0.0,0.0,7.34,0.699,0.0,0.0007,0.0,createSchema_report_40_20250326-021735.html,40
/node2,0.10333333333333333,0.034999999999999996,2.27,2.27,0.0,0.0,3.76,0.844,0.0,0.0008,0.0,createSchema_report_40_20250326-021735.html,40
/node6,0.1025,0.03666666666666667,2.01,2.01,0.0,0.0,3.73,1.5,0.0,0.0015,0.0,createSchema_report_40_20250326-021735.html,40
/node5,0.10416666666666667,0.035833333333333335,2.03,2.03,0.0,0.0,5.28,0.633,0.0,0.0006,0.0,createSchema_report_40_20250326-021735.html,40
/node3,0.09916666666666667,0.03833333333333334,2.03,2.03,0.0,0.0,3.75,0.777,0.0,0.0008,0.0,createSchema_report_40_20250326-021735.html,40
/node1,0.16916666666666666,0.055,2.18,2.18,0.0,0.0,5.37,0.0625,0.0,0.0001,0.0,createSchema_report_40_20250326-021735.html,40
/node4,1.3658333333333335,0.7425,1.97,1.96,0.0,0.0,13.5,10.6,0.0,0.0104,0.0,createSchema_report_120_20250326-094134.html,120
/node2,0.9958333333333332,0.5008333333333334,2.15,1.99,0.0,0.0,10.1,10.0,0.0,0.0098,0.0,createSchema_report_120_20250326-094134.html,120
/node6,0.9191666666666666,0.5499999999999999,3.37,3.37,0.0,0.0,10.5,5.91,0.0,0.0058,0.0,createSchema_report_120_20250326-094134.html,120
/node5,1.4733333333333334,0.5958333333333333,1.98,1.9,0.0,0.0,9.84,7.48,0.0,0.0073,0.0,createSchema_report_120_20250326-094134.html,120
/node3,1.0808333333333333,0.5175,2.05,2.04,0.0,0.0,9.84,13.5,0.0,0.0132,0.0,createSchema_report_120_20250326-094134.html,120
/node1,1.5925,0.6258333333333334,2.56,2.56,0.0,0.0,11.3,10.3,0.0,0.0101,0.0,createSchema_report_120_20250326-094134.html,120
/node4,1.3658333333333335,0.7425,1.97,1.96,0.0,0.0,13.5,10.6,0.0,0.0104,0.0,createSchema_report_120_20250326-094134.html,120
/node2,0.9958333333333332,0.5008333333333334,2.15,1.99,0.0,0.0,10.1,10.0,0.0,0.0098,0.0,createSchema_report_120_20250326-094134.html,120
/node6,0.9191666666666666,0.5499999999999999,3.37,3.37,0.0,0.0,10.5,5.91,0.0,0.0058,0.0,createSchema_report_120_20250326-094134.html,120
/node5,1.4733333333333334,0.5958333333333333,1.98,1.9,0.0,0.0,9.84,7.48,0.0,0.0073,0.0,createSchema_report_120_20250326-094134.html,120
/node3,1.0808333333333333,0.5175,2.05,2.04,0.0,0.0,9.84,13.5,0.0,0.0132,0.0,createSchema_report_120_20250326-094134.html,120
/node1,1.5925,0.6258333333333334,2.56,2.56,0.0,0.0,11.3,10.3,0.0,0.0101,0.0,createSchema_report_120_20250326-094134.html,120
/node4,1.3408333333333333,0.7708333333333334,1.8,1.75,0.0,0.0,4.26,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node2,1.1066666666666667,0.5508333333333334,2.84,2.78,0.0,0.0,4.11,24.0,0.0,0.0234,0.0,createSchema_report_120_20250326-015729.html,120
/node6,1.0108333333333335,0.5208333333333334,1.8,1.8,0.0,0.0,5.37,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node5,1.1225,0.6425,1.74,1.74,0.0,0.0,4.1,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node3,1.0708333333333333,0.5675,1.78,1.78,0.0,0.0,4.11,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node1,1.5858333333333334,0.7416666666666667,3.04,3.04,0.0,0.0,7.58,384.0,0.0,0.375,0.0,createSchema_report_120_20250326-015729.html,120
/node4,1.3408333333333333,0.7708333333333334,1.8,1.75,0.0,0.0,4.26,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node2,1.1066666666666667,0.5508333333333334,2.84,2.78,0.0,0.0,4.11,24.0,0.0,0.0234,0.0,createSchema_report_120_20250326-015729.html,120
/node6,1.0108333333333335,0.5208333333333334,1.8,1.8,0.0,0.0,5.37,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node5,1.1225,0.6425,1.74,1.74,0.0,0.0,4.1,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node3,1.0708333333333333,0.5675,1.78,1.78,0.0,0.0,4.11,0.0,0.0,0.0,0.0,createSchema_report_120_20250326-015729.html,120
/node1,1.5858333333333334,0.7416666666666667,3.04,3.04,0.0,0.0,7.58,384.0,0.0,0.375,0.0,createSchema_report_120_20250326-015729.html,120
/node4,0.06333333333333334,0.0275,2.08,2.08,0.0,0.0,1.05,10.3,0.0,0.0101,0.0,createSchema_report_20_20250326-021711.html,20
/node2,0.06916666666666667,0.025833333333333333,2.27,2.27,0.0,0.0,3.07,11.3,0.0,0.011,0.0,createSchema_report_20_20250326-021711.html,20
/node6,0.07833333333333332,0.0325,2.01,2.01,0.0,0.0,0.0,13.0,0.0,0.0127,0.0,createSchema_report_20_20250326-021711.html,20
/node5,0.07333333333333333,0.029166666666666664,2.03,2.03,0.0,0.0,3.13,0.75,0.0,0.0007,0.0,createSchema_report_20_20250326-021711.html,20
/node3,0.06083333333333333,0.024166666666666666,2.03,2.03,0.0,0.0,3.11,0.617,0.0,0.0006,0.0,createSchema_report_20_20250326-021711.html,20
/node1,0.09416666666666666,0.041666666666666664,2.26,2.22,0.0,0.0,3.26,0.125,0.0,0.0001,0.0,createSchema_report_20_20250326-021711.html,20
